title,description,class
Captain America: The First Avenger,"description: Steve Rogers, a rejected military soldier transforms into Captain America after taking a dose of a ""Super-Soldier serum"". But being Captain America comes at a price as he attempts to take down a war monger and a terrorist organization.; categories: Action,Adventure,Sci-Fi",Pelicula
Hacker,"description: With the help of his new friends Alex Danyliuk turns to a life of crime and identity theft.; categories: Crime,Drama,Thriller",Pelicula
Into the Wild,"description: After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life.; categories: Adventure,Biography,Drama",Pelicula
The Imitation Game,"description: During World War II, mathematician Alan Turing tries to crack the enigma code with help from fellow mathematicians.; categories: Biography,Drama,Thriller",Pelicula
Central Intelligence,"description: After he reconnects with an awkward pal from high school through Facebook, a mild-mannered accountant is lured into the world of international espionage.; categories: Action,Comedy,Crime",Pelicula
Edge of Tomorrow,"description: A soldier fighting aliens gets to relive the same day over and over again, the day restarting every time he dies.; categories: Action,Adventure,Sci-Fi",Pelicula
A Cure for Wellness,"description: An ambitious young executive is sent to retrieve his company's CEO from an idyllic but mysterious ""wellness center"" at a remote location in the Swiss Alps, but soon suspects that the spa's treatments are not what they seem.; categories: Drama,Fantasy,Horror",Pelicula
Snowden,"description: The NSA's illegal surveillance techniques are leaked to the public by one of the agency's employees, Edward Snowden, in the form of thousands of classified documents distributed to the press.; categories: Biography,Drama,Thriller",Pelicula
Iron Man,"description: After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.; categories: Action,Adventure,Sci-Fi",Pelicula
Allegiant,"description: After the earth-shattering revelations of Insurgent, Tris must escape with Four beyond the wall that encircles Chicago, to finally discover the shocking truth of the world around them.; categories: Action,Adventure,Mystery",Pelicula
X: First Class,"description: In 1962, the United States government enlists the help of Mutants with superhuman abilities to stop a malicious dictator who is determined to start World War III.; categories: Action,Adventure,Sci-Fi",Pelicula
Raw (II),"description: When a young vegetarian undergoes a carnivorous hazing ritual at vet school, an unbidden taste for meat begins to grow in her.; categories: Drama,Horror",Pelicula
Paterson,"description: A quiet observation of the triumphs and defeats of daily life, along with the poetry evident in its smallest details.; categories: Comedy,Drama,Romance",Pelicula
Bridesmaids,"description: Competition between the maid of honor and a bridesmaid, over who is the bride's best friend, threatens to upend the life of an out-of-work pastry chef.; categories: Comedy,Romance",Pelicula
The Girl with All the Gifts,"description: A scientist and a teacher living in a dystopian future embark on a journey of survival with a special young girl named Melanie.; categories: Drama,Horror,Thriller",Pelicula
San Andreas,"description: In the aftermath of a massive earthquake in California, a rescue-chopper pilot makes a dangerous journey with his ex-wife across the state in order to rescue his daughter.; categories: Action,Adventure,Drama",Pelicula
Spring Breakers,"description: Four college girls hold up a restaurant in order to fund their spring break vacation. While partying, drinking, and taking drugs, they are arrested, only to be bailed out by a drug and arms dealer.; categories: Drama",Pelicula
Transformers,"description: An ancient struggle between two Cybertronian races, the heroic Autobots and the evil Decepticons, comes to Earth, with a clue to the ultimate power held by a teenager.; categories: Action,Adventure,Sci-Fi",Pelicula
Old Boy,"description: Obsessed with vengeance, a man sets out to find out why he was kidnapped and locked into solitary confinement for twenty years without reason.; categories: Action,Drama,Mystery",Pelicula
Thor: The Dark World,"description: When Dr. Jane Foster gets cursed with a powerful entity known as the Aether, Thor is heralded of the cosmic event known as the Convergence and the genocidal Dark Elves.; categories: Action,Adventure,Fantasy",Pelicula
Gods of Egypt,"description: Mortal hero Bek teams with the god Horus in an alliance against Set, the merciless god of darkness, who has usurped Egypt's throne, plunging the once peaceful and prosperous empire into chaos and conflict.; categories: Action,Adventure,Fantasy",Pelicula
Captain America: The Winter Soldier,"description: As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier.; categories: Action,Adventure,Sci-Fi",Pelicula
Monster Trucks,"description: A young man working at a small town junkyard discovers and befriends a creature which feeds on oil being sought by a fracking company.; categories: Action,Adventure,Comedy",Pelicula
A Dark Song,"description: A determined young woman and a damaged occultist risk their lives and souls to perform a dangerous ritual that will grant them what they want.; categories: Drama,Horror",Pelicula
Kick-Ass,"description: Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a superhero, even though he has no powers, training or meaningful reason to do so.; categories: Action,Comedy",Pelicula
Hardcore Henry,"description: Henry is resurrected from death with no memory, and he must save his wife from a telekinetic warlord with a plan to bio-engineer soldiers.; categories: Action,Adventure,Sci-Fi",Pelicula
Cars,"description: A hot-shot race-car named Lightning McQueen gets waylaid in Radiator Springs, where he finds the true meaning of friendship and family.; categories: Animation,Adventure,Comedy",Pelicula
It Follows,"description: A young woman is followed by an unknown supernatural force after a sexual encounter.; categories: Horror,Mystery",Pelicula
The Girl with the Dragon Tattoo,"description: Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for forty years by Lisbeth Salander, a young computer hacker.; categories: Crime,Drama,Mystery",Pelicula
We're the Millers,"description: A veteran pot dealer creates a fake family as part of his plan to move a huge shipment of weed into the U.S. from Mexico.; categories: Comedy,Crime",Pelicula
American Honey,"description: A teenage girl with nothing to lose joins a traveling magazine sales crew, and gets caught up in a whirlwind of hard partying, law bending and young love as she criss-crosses the Midwest with a band of misfits.; categories: Drama",Pelicula
The Lobster,"description: In a dystopian near future, single people, according to the laws of The City, are taken to The Hotel, where they are obliged to find a romantic partner in forty-five days or are transformed into beasts and sent off into The Woods.; categories: Comedy,Drama,Romance",Pelicula
Predators,"description: A group of elite warriors parachute into an unfamiliar jungle and are hunted by members of a merciless alien race.; categories: Action,Adventure,Sci-Fi",Pelicula
Maleficent,"description: A vengeful fairy is driven to curse an infant princess, only to discover that the child may be the one person who can restore peace to their troubled land.; categories: Action,Adventure,Family",Pelicula
Rupture,"description: A single mom tries to break free from a mysterious organization that has abducted her.; categories: Horror,Sci-Fi,Thriller",Pelicula
Pan's Labyrinth,"description: In the falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.; categories: Drama,Fantasy,War",Pelicula
A Kind of Murder,"description: In 1960s New York, Walter Stackhouse is a successful architect married to the beautiful Clara who leads a seemingly perfect life. But his fascination with an unsolved murder leads him into a spiral of chaos as he is forced to play cat-and-mouse with a clever killer and an overambitious detective, while at the same time lusting after another woman.; categories: Crime,Drama,Thriller",Pelicula
Apocalypto,"description: As the Mayan kingdom faces its decline, the rulers insist the key to prosperity is to build more temples and offer human sacrifices. Jaguar Paw, a young man captured for sacrifice, flees to avoid his fate.; categories: Action,Adventure,Drama",Pelicula
Mission: Impossible - Rogue Nation,"description: Ethan and team take on their most impossible mission yet, eradicating the Syndicate - an International rogue organization as highly skilled as they are, committed to destroying the IMF.; categories: Action,Adventure,Thriller",Pelicula
The Huntsman: Winter's War,"description: Eric and fellow warrior Sara, raised as members of ice Queen Freya's army, try to conceal their forbidden love as they fight to survive the wicked intentions of both Freya and her sister Ravenna.; categories: Action,Adventure,Drama",Pelicula
The Perks of Being a Wallflower,"description: An introvert freshman is taken under the wings of two seniors who welcome him to the real world.; categories: Drama,Romance",Pelicula
Jackie,"description: Following the assassination of President John F. Kennedy, First Lady Jacqueline Kennedy fights through grief and trauma to regain her faith, console her children, and define her husband's historic legacy.; categories: Biography,Drama,History",Pelicula
The Disappointments Room,"description: A mother and her young son release unimaginable horrors from the attic of their rural dream home.; categories: Drama,Horror,Thriller",Pelicula
The Grand Budapest Hotel,"description: The adventures of Gustave H, a legendary concierge at a famous hotel from the fictional Republic of Zubrowka between the first and second World Wars, and Zero Moustafa, the lobby boy who becomes his most trusted friend.; categories: Adventure,Comedy,Drama",Pelicula
The Host,"description: When an unseen enemy threatens mankind by taking over their bodies and erasing their memories, Melanie will risk everything to protect the people she cares most about, proving that love can conquer all in a dangerous new world.; categories: Action,Adventure,Romance",Pelicula
Fury,"description: A grizzled tank commander makes tough decisions as he and his crew fight their way across Germany in April, 1945.; categories: Action,Drama,War",Pelicula
Inside Out,"description: After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.; categories: Animation,Adventure,Comedy",Pelicula
Rock Dog,"description: When a radio falls from the sky into the hands of a wide-eyed Tibetan Mastiff, he leaves home to fulfill his dream of becoming a musician, setting into motion a series of completely unexpected events.; categories: Animation,Adventure,Comedy",Pelicula
Terminator Genisys,"description: When John Connor, leader of the human resistance, sends Sgt. Kyle Reese back to 1984 to protect Sarah Connor and safeguard the future, an unexpected turn of events creates a fractured timeline.; categories: Action,Adventure,Sci-Fi",Pelicula
Percy Jackson & the Olympians: The Lightning Thief,"description: A teenager discovers he's the descendant of a Greek god and sets out on an adventure to settle an on-going battle between the gods.; categories: Adventure,Family,Fantasy",Pelicula
Les Misérables,"description: In 19th-century France, Jean Valjean, who for decades has been hunted by the ruthless policeman Javert after breaking parole, agrees to care for a factory worker's daughter. The decision changes their lives forever.; categories: Drama,Musical,Romance",Pelicula
Children of Men,"description: In 2027, in a chaotic world in which women have become somehow infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea.; categories: Drama,Sci-Fi,Thriller",Pelicula
20th Century Women,"description: The story of a teenage boy, his mother, and two other women who help raise him among the love and freedom of Southern California of 1979.; categories: Comedy,Drama",Pelicula
Spy,"description: A desk-bound CIA analyst volunteers to go undercover to infiltrate the world of a deadly arms dealer, and prevent diabolical global disaster.; categories: Action,Comedy,Crime",Pelicula
The Intouchables,"description: After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.; categories: Biography,Comedy,Drama",Pelicula
Bonjour Anne,"description: Anne is at a crossroads in her life. Long married to a successful, driven but inattentive movie producer, she unexpectedly finds herself taking a car trip from Cannes to Paris with a ... See full summary »; categories: Comedy,Drama,Romance",Pelicula
Kynodontas,"description: Three teenagers live isolated, without leaving their house, because their over-protective parents say they can only leave when their dogtooth falls out.; categories: Drama,Thriller",Pelicula
Straight Outta Compton,"description: The group NWA emerges from the mean streets of Compton in Los Angeles, California, in the mid-1980s and revolutionizes Hip Hop culture with their music and tales about life in the hood.; categories: Biography,Drama,History",Pelicula
The Amazing Spider-Man 2,"description: When New York is put under siege by Oscorp, it is up to Spider-Man to save the city he swore to protect as well as his loved ones.; categories: Action,Adventure,Sci-Fi",Pelicula
The Conjuring,"description: Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.; categories: Horror,Mystery,Thriller",Pelicula
The Hangover,"description: Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing. They make their way around the city in order to find their friend before his wedding.; categories: Comedy",Pelicula
Battleship,"description: A fleet of ships is forced to do battle with an armada of unknown origins in order to discover and thwart their destructive goals.; categories: Action,Adventure,Sci-Fi",Pelicula
Rise of the Planet of the Apes,"description: A substance, designed to help the brain repair itself, gives rise to a super-intelligent chimp who leads an ape uprising.; categories: Action,Drama,Sci-Fi",Pelicula
Lights Out,"description: Rebecca must unlock the terror behind her little brother's experiences that once tested her sanity, bringing her face to face with an entity attached to their mother.; categories: Horror",Pelicula
Norman: The Moderate Rise and Tragic Fall of a New York Fixer,"description: Norman Oppenheimer is a small time operator who befriends a young politician at a low point in his life. Three years later, when the politician becomes an influential world leader, Norman's life dramatically changes for better and worse.; categories: Drama,Thriller",Pelicula
Birdman or (The Unexpected Virtue of Ignorance),"description: Illustrated upon the progress of his latest Broadway play, a former popular actor's struggle to cope with his current life as a wasted actor is shown.; categories: Comedy,Drama,Romance",Pelicula
Black Swan,"description: A committed dancer wins the lead role in a production of Tchaikovsky's ""Swan Lake"" only to find herself struggling to maintain her sanity.; categories: Drama,Thriller",Pelicula
Dear White People,"description: The lives of four black students at an Ivy League college.; categories: Comedy,Drama",Pelicula
Nymphomaniac: Vol. I,description: A self-diagnosed nymphomaniac recounts her erotic experiences to the man who saved her after a beating.; categories: Drama,Pelicula
Teenage Mutant Ninja Turtles: Out of the Shadows,"description: After facing Shredder, who has joined forces with mad scientist Baxter Stockman and henchmen Bebop and Rocksteady to take over the world, the Turtles must confront an even greater nemesis: the notorious Krang.; categories: Action,Adventure,Comedy",Pelicula
Knock Knock,"description: A devoted father helps two stranded young women who knock on his door, but his kind gesture turns into a dangerous seduction and a deadly game of cat and mouse.; categories: Drama,Horror,Thriller",Pelicula
Dirty Grandpa,"description: Right before his wedding, an uptight guy is tricked into driving his grandfather, a lecherous former Army Lieutenant-Colonel, to Florida for spring break.; categories: Comedy",Pelicula
Cloud Atlas,"description: An exploration of how the actions of individual lives impact one another in the past, present and future, as one soul is shaped from a killer into a hero, and an act of kindness ripples across centuries to inspire a revolution.; categories: Drama,Sci-Fi",Pelicula
X-Men Origins: Wolverine,"description: A look at Wolverine's early life, in particular his time with the government squad Team X and the impact it will have on his later years.; categories: Action,Adventure,Sci-Fi",Pelicula
Satanic,"description: Four friends on their way to Coachella stop off in Los Angeles to tour true-crime occult sites, only to encounter a mysterious young runaway who puts them on a terrifying path to ultimate horror.; categories: Horror",Pelicula
Skyfall,"description: Bond's loyalty to M is tested when her past comes back to haunt her. Whilst MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost.; categories: Action,Adventure,Thriller",Pelicula
The Hobbit: An Unexpected Journey,"description: A reluctant hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home - and the gold within it - from the dragon Smaug.; categories: Adventure,Fantasy",Pelicula
21 Jump Street,"description: A pair of underachieving cops are sent back to a local high school to blend in and bring down a synthetic drug ring.; categories: Action,Comedy,Crime",Pelicula
Sing Street,"description: A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.; categories: Comedy,Drama,Music",Pelicula
Ballerina,"description: An orphan girl dreams of becoming a ballerina and flees her rural Brittany for Paris, where she passes for someone else and accedes to the position of pupil at the Grand Opera house.; categories: Animation,Adventure,Comedy",Pelicula
Oblivion,"description: A veteran assigned to extract Earth's remaining resources begins to question what he knows about his mission and himself.; categories: Action,Adventure,Mystery",Pelicula
22 Jump Street,"description: After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college.; categories: Action,Comedy,Crime",Pelicula
Zodiac,"description: In the late 1960s/early 1970s, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree.; categories: Crime,Drama,History",Pelicula
Everybody Wants Some!!,"description: In 1980, a group of college baseball players navigate their way through the freedoms and responsibilities of unsupervised adulthood.; categories: Comedy",Pelicula
Iron Man Three,"description: When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.; categories: Action,Adventure,Sci-Fi",Pelicula
Now You See Me,"description: An FBI agent and an Interpol detective track a team of illusionists who pull off bank heists during their performances and reward their audiences with the money.; categories: Crime,Mystery,Thriller",Pelicula
Sherlock Holmes,"description: Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.; categories: Action,Adventure,Crime",Pelicula
Death Proof,"description: Two separate sets of voluptuous women are stalked at different times by a scarred stuntman who uses his ""death proof"" cars to execute his murderous plans.; categories: Thriller",Pelicula
The Danish Girl,"description: A fictitious love story loosely inspired by the lives of Danish artists Lili Elbe and Gerda Wegener. Lili and Gerda's marriage and work evolve as they navigate Lili's groundbreaking journey as a transgender pioneer.; categories: Biography,Drama,Romance",Pelicula
Hercules,"description: Having endured his legendary twelve labors, Hercules, the Greek demigod, has his life as a sword-for-hire tested when the King of Thrace and his daughter seek his aid in defeating a tyrannical warlord.; categories: Action,Adventure",Pelicula
Sucker Punch,"description: A young girl is institutionalized by her abusive stepfather, retreating to an alternative reality as a coping strategy, envisioning a plan to help her escape.; categories: Action,Fantasy",Pelicula
Keeping Up with the Joneses,"description: A suburban couple becomes embroiled in an international espionage plot when they discover that their seemingly perfect new neighbors are government spies.; categories: Action,Comedy",Pelicula
Jupiter Ascending,"description: A young woman discovers her destiny as an heiress of intergalactic nobility and must fight to protect the inhabitants of Earth from an ancient and destructive industry.; categories: Action,Adventure,Sci-Fi",Pelicula
Masterminds,"description: A guard at an armored car company in the Southern U.S. organizes one of the biggest bank heists in American history. Based on the October 1997 Loomis Fargo robbery.; categories: Action,Comedy,Crime",Pelicula
Iris,"description: Iris, young wife of a businessman, disappears in Paris. Maybe a mechanic with many debts is involved in the strange affair. A really complicated job for the police.; categories: Thriller",Pelicula
Busanhaeng,"description: While a zombie virus breaks out in South Korea, passengers struggle to survive on the train from Seoul to Busan.; categories: Action,Drama,Horror",Pelicula
Pitch Perfect,"description: Beca, a freshman at Barden University, is cajoled into joining The Bellas, her school's all-girls singing group. Injecting some much needed energy into their repertoire, The Bellas take on their male rivals in a campus competition.; categories: Comedy,Music,Romance",Pelicula
Neighbors 2: Sorority Rising,"description: When their new next-door neighbors turn out to be a sorority even more debaucherous than the fraternity previously living there, Mac and Kelly team with their former enemy, Teddy, to bring the girls down.; categories: Comedy",Pelicula
The Exception,"description: A German soldier tries to determine if the Dutch resistance has planted a spy to infiltrate the home of Kaiser Wilhelm in Holland during the onset of World War II, but falls for a young Jewish Dutch woman during his investigation.; categories: Drama",Pelicula
Man of Steel,"description: Clark Kent, one of the last of an extinguished race disguised as an unremarkable human, is forced to reveal his identity when Earth is invaded by an army of survivors who threaten to bring the planet to the brink of destruction.; categories: Action,Adventure,Fantasy",Pelicula
The Choice,"description: Travis and Gabby first meet as neighbors in a small coastal town and wind up in a relationship that is tested by life's most defining events.; categories: Drama,Romance",Pelicula
Ice Age: Collision Course,"description: Manny, Diego, and Sid join up with Buck to fend off a meteor strike that would destroy the world.; categories: Animation,Adventure,Comedy",Pelicula
The Devil Wears Prada,"description: A smart but sensible new graduate lands a job as an assistant to Miranda Priestly, the demanding editor-in-chief of a high fashion magazine.; categories: Comedy,Drama",Pelicula
The Infiltrator,"description: A U.S. Customs official uncovers a money laundering scheme involving Colombian drug lord Pablo Escobar.; categories: Biography,Crime,Drama",Pelicula
There Will Be Blood,"description: A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.; categories: Drama,History",Pelicula
The Equalizer,"description: A man believes he has put his mysterious past behind him and has dedicated himself to beginning a new, quiet life. But when he meets a young girl under the control of ultra-violent Russian gangsters, he can't stand idly by - he has to help her.; categories: Action,Crime,Thriller",Pelicula
Lone Survivor,"description: Marcus Luttrell and his team set out on a mission to capture or kill notorious Taliban leader Ahmad Shah, in late June 2005. Marcus and his team are left to fight for their lives in one of the most valiant efforts of modern warfare.; categories: Action,Biography,Drama",Pelicula
The Cabin in the Woods,"description: Five friends go for a break at a remote cabin, where they get more than they bargained for, discovering the truth behind the cabin in the woods.; categories: Horror",Pelicula
The House Bunny,"description: After Playboy bunny Shelley is kicked out of the playboy mansion, she finds a job as the house mother for a sorority full of socially awkward girls.; categories: Comedy,Romance",Pelicula
She's Out of My League,"description: An average Joe meets the perfect woman, but his lack of confidence and the influence of his friends and family begin to pick away at the relationship.; categories: Comedy,Romance",Pelicula
Inherent Vice,"description: In 1970, drug-fueled Los Angeles private investigator Larry ""Doc"" Sportello investigates the disappearance of a former girlfriend.; categories: Comedy,Crime,Drama",Pelicula
Alice Through the Looking Glass,"description: Alice returns to the whimsical world of Wonderland and travels back in time to help the Mad Hatter.; categories: Adventure,Family,Fantasy",Pelicula
Vincent N Roxxy,"description: A small town loner and a rebellious punk rocker unexpectedly fall in love as they are forced on the run and soon discover violence follows them everywhere.; categories: Crime,Drama,Thriller",Pelicula
The Fast and the Furious: Tokyo Drift,"description: A teenager becomes a major competitor in the world of drift racing after moving in with his father in Tokyo to avoid a jail sentence in America.; categories: Action,Crime,Thriller",Pelicula
How to Be Single,"description: A group of young adults navigate love and relationships in New York City.; categories: Comedy,Romance",Pelicula
The Blind Side,"description: The story of Michael Oher, a homeless and traumatized boy who became an All American football player and first round NFL draft pick with the help of a caring woman and her family.; categories: Biography,Drama,Sport",Pelicula
La vie d'Adèle,"description: Adèle's life is changed when she meets Emma, a young woman with blue hair, who will allow her to discover desire and to assert herself as a woman and as an adult. In front of others, Adèle grows, seeks herself, loses herself, and ultimately finds herself through love and loss.; categories: Drama,Romance",Pelicula
The Babadook,"description: A single mother, plagued by the violent death of her husband, battles with her son's fear of a monster lurking in the house, but soon discovers a sinister presence all around her.; categories: Drama,Horror",Pelicula
The Hobbit: The Battle of the Five Armies,"description: Bilbo and Company are forced to engage in a war against an array of combatants and keep the Lonely Mountain from falling into the hands of a rising darkness.; categories: Adventure,Fantasy",Pelicula
Harry Potter and the Order of the Phoenix,"description: With their warning about Lord Voldemort's return scoffed at, Harry and Dumbledore are targeted by the Wizard authorities as an authoritarian bureaucrat slowly seizes power at Hogwarts.; categories: Adventure,Family,Fantasy",Pelicula
Snowpiercer,"description: Set in a future where a failed climate-change experiment kills all life on the planet except for a lucky few who boarded the Snowpiercer, a train that travels around the globe, where a class system emerges.; categories: Action,Drama,Sci-Fi",Pelicula
The 5th Wave,"description: Four waves of increasingly deadly alien attacks have left most of Earth decimated. Cassie is on the run, desperately trying to save her younger brother.; categories: Action,Adventure,Sci-Fi",Pelicula
The Stakelander,"description: When his home of New Eden is destroyed by a revitalized Brotherhood and its new Vamp leader, Martin finds himself alone in the badlands of America with only the distant memory of his mentor and legendary vampire hunter, Mister, to guide him.; categories: Action,Horror",Pelicula
The Visit,"description: Two siblings become increasingly frightened by their grandparents' disturbing behavior while visiting them on vacation.; categories: Comedy,Horror,Thriller",Pelicula
Fast Five,"description: Dominic Toretto and his crew of street racers plan a massive heist to buy their freedom while in the sights of a powerful Brazilian drug lord and a dangerous federal agent.; categories: Action,Crime,Thriller",Pelicula
Step Up,"description: Tyler Gage receives the opportunity of a lifetime after vandalizing a performing arts school, gaining him the chance to earn a scholarship and dance with an up and coming dancer, Nora.; categories: Crime,Drama,Music",Pelicula
Lovesong,description: The relationship between two friends deepens during an impromptu road trip.; categories: Drama,Pelicula
RocknRolla,"description: In London, a real-estate scam puts millions of pounds up for grabs, attracting some of the city's scrappiest tough guys and its more established underworld types, all of whom are looking to get rich quick. While the city's seasoned criminals vie for the cash, an unexpected player -- a drugged-out rock 'n' roller presumed to be dead but very much alive -- has a multi-million-dollar prize fall into... See full summary »; categories: Action,Crime,Thriller",Pelicula
In Time,"description: In a future where people stop aging at 25, but are engineered to live only one more year, having the means to buy your way out of the situation is a shot at immortal youth. Here, Will Salas finds himself accused of murder and on the run with a hostage - a connection that becomes an important part of the way against the system.; categories: Action,Sci-Fi,Thriller",Pelicula
The Social Network,"description: Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, but is later sued by two brothers who claimed he stole their idea, and the co-founder who was later squeezed out of the business.; categories: Biography,Drama",Pelicula
The Last Witch Hunter,"description: The last witch hunter is all that stands between humanity and the combined forces of the most horrifying witches in history.; categories: Action,Adventure,Fantasy",Pelicula
Victor Frankenstein,"description: Told from Igor's perspective, we see the troubled young assistant's dark origins, his redemptive friendship with the young medical student Viktor Von Frankenstein, and become eyewitnesses to the emergence of how Frankenstein became the man - and the legend - we know today.; categories: Drama,Horror,Sci-Fi",Pelicula
A Street Cat Named Bob,"description: Based on the international best selling book. The true feel good story of how James Bowen, a busker and recovering drug addict, had his life transformed when he met a stray ginger cat.; categories: Biography,Comedy,Drama",Pelicula
Green Room,"description: A punk rock band is forced to fight for survival after witnessing a murder at a neo-Nazi skinhead bar.; categories: Crime,Horror,Thriller",Pelicula
Blackhat,"description: A furloughed convict and his American and Chinese partners hunt a high-level cybercrime network from Chicago to Los Angeles to Hong Kong to Jakarta.; categories: Crime,Drama,Mystery",Pelicula
Storks,"description: Storks have moved on from delivering babies to packages. But when an order for a baby appears, the best delivery stork must scramble to fix the error by delivering the baby.; categories: Animation,Adventure,Comedy",Pelicula
American Sniper,"description: Navy S.E.A.L. sniper Chris Kyle's pinpoint accuracy saves countless lives on the battlefield and turns him into a legend. Back home to his wife and kids after four tours of duty, however, Chris finds that it is the war he can't leave behind.; categories: Action,Biography,Drama",Pelicula
Dallas Buyers Club,"description: In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease.; categories: Biography,Drama",Pelicula
Lincoln,"description: As the War continues to rage, America's president struggles with continuing carnage on the battlefield as he fights with many inside his own cabinet on the decision to emancipate the slaves.; categories: Biography,Drama,History",Pelicula
Rush,"description: The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.; categories: Action,Biography,Drama",Pelicula
Before I Wake,"description: A young couple adopt an orphaned child whose dreams - and nightmares - manifest physically as he sleeps.; categories: Drama,Fantasy,Horror",Pelicula
Silver Linings Playbook,"description: After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own.; categories: Comedy,Drama,Romance",Pelicula
Tracktown,"description: A young, talented, and lonely long-distance runner twists her ankle as she prepares for the Olympic Trials and must do something she's never done before: take a day off.; categories: Drama,Sport",Pelicula
The Fault in Our Stars,"description: Two teenage cancer patients begin a life-affirming journey to visit a reclusive author in Amsterdam.; categories: Drama,Romance",Pelicula
Blended,"description: After a bad blind date, a man and woman find themselves stuck together at a resort for families, where their attraction grows as their respective kids benefit from the burgeoning relationship.; categories: Comedy,Romance",Pelicula
Fast & Furious,"description: Brian O'Conner, back working for the FBI in Los Angeles, teams up with Dominic Toretto to bring down a heroin importer by infiltrating his operation.; categories: Action,Crime,Thriller",Pelicula
Looper,"description: In 2074, when the mob wants to get rid of someone, the target is sent into the past, where a hired gun awaits - someone like Joe - who one day learns the mob wants to 'close the loop' by sending back Joe's future self for assassination.; categories: Action,Crime,Drama",Pelicula
White House Down,"description: While on a tour of the White House with his young daughter, a Capitol policeman springs into action to save his child and protect the president from a heavily armed group of paramilitary invaders.; categories: Action,Drama,Thriller",Pelicula
Pete's Dragon,"description: The adventures of an orphaned boy named Pete and his best friend Elliot, who just so happens to be a dragon.; categories: Adventure,Family,Fantasy",Pelicula
Spider-Man 3,"description: A strange black entity from another world bonds with Peter Parker and causes inner turmoil as he contends with new villains, temptations, and revenge.; categories: Action,Adventure",Pelicula
The Three Musketeers,"description: The hot-headed young D'Artagnan along with three former legendary but now down on their luck Musketeers must unite and defeat a beautiful double agent and her villainous employer from seizing the French throne and engulfing Europe in war.; categories: Action,Adventure,Romance",Pelicula
Stardust,"description: In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm.; categories: Adventure,Family,Fantasy",Pelicula
American Hustle,"description: A con man, Irving Rosenfeld, along with his seductive partner Sydney Prosser, is forced to work for a wild FBI agent, Richie DiMaso, who pushes them into a world of Jersey powerbrokers and mafia.; categories: Crime,Drama",Pelicula
Jennifer's Body,"description: A newly possessed high school cheerleader turns into a succubus who specializes in killing her male classmates. Can her best friend put an end to the horror?; categories: Comedy,Horror",Pelicula
Midnight in Paris,"description: While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s everyday at midnight.; categories: Comedy,Fantasy,Romance",Pelicula
Lady Macbeth,"description: Set in 19th century rural England, young bride who has been sold into marriage to a middle-aged man discovers an unstoppable desire within herself as she enters into an affair with a work on her estate.; categories: Drama",Pelicula
Joy,"description: Joy is the story of the title character, who rose to become founder and matriarch of a powerful family business dynasty.; categories: Drama",Pelicula
The Dressmaker,"description: A glamorous woman returns to her small town in rural Australia. With her sewing machine and haute couture style, she transforms the women and exacts sweet revenge on those who did her wrong.; categories: Comedy,Drama",Pelicula
