title,description,class
X-Men: Apocalypse,"description: After the re-emergence of the world's first mutant, world-destroyer Apocalypse, the X-Men must unite to defeat his extinction level plan.; categories: Action,Adventure,Sci-Fi",Pelicula
Deadpool,"description: A fast-talking mercenary with a morbid sense of humor is subjected to a rogue experiment that leaves him with accelerated healing powers and a quest for revenge.; categories: Action,Adventure,Comedy",Pelicula
Resident Evil: The Final Chapter,"description: Alice returns to where the nightmare began: The Hive in Raccoon City, where the Umbrella Corporation is gathering its forces for a final strike against the only remaining survivors of the apocalypse.; categories: Action,Horror,Sci-Fi",Pelicula
Captain America: Civil War,"description: Political interference in the Avengers' activities causes a rift between former allies Captain America and Iron Man.; categories: Action,Adventure,Sci-Fi",Pelicula
Interstellar,"description: A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.; categories: Adventure,Drama,Sci-Fi",Pelicula
Doctor Strange,"description: While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts.; categories: Action,Adventure,Fantasy",Pelicula
The Magnificent Seven,"description: Seven gunmen in the old west gradually come together to help a poor village against savage thieves.; categories: Action,Adventure,Western",Pelicula
5/25/1977,"description: Alienated, hopeful-filmmaker Pat Johnson's epic story growing up in rural Illinois, falling in love, and becoming the first fan of the movie that changed everything.; categories: Comedy,Drama",Pelicula
Sausage Party,"description: A sausage strives to discover the truth about his existence.; categories: Animation,Adventure,Comedy",Pelicula
Moonlight,"description: A chronicle of the childhood, adolescence and burgeoning adulthood of a young, African-American, gay man growing up in a rough neighborhood of Miami.; categories: Drama",Pelicula
Don't Fuck in the Woods,"description: A group of friends are going on a camping trip to celebrate graduating college. But once they enter the woods, the proverbial shit starts to hit the fan.; categories: Horror",Pelicula
The Founder,"description: The story of Ray Kroc, a salesman who turned two brothers' innovative fast food eatery, McDonald's, into one of the biggest restaurant businesses in the world with a combination of ambition, persistence, and ruthlessness.; categories: Biography,Drama,History",Pelicula
Lowriders,"description: A young street artist in East Los Angeles is caught between his father's obsession with lowrider car culture, his ex-felon brother and his need for self-expression.; categories: Drama",Pelicula
Pirates of the Caribbean: On Stranger Tides,"description: Jack Sparrow and Barbossa embark on a quest to find the elusive fountain of youth, only to discover that Blackbeard and his daughter are after it too.; categories: Action,Adventure,Fantasy",Pelicula
Miss Sloane,"description: In the high-stakes world of political power-brokers, Elizabeth Sloane is the most sought after and formidable lobbyist in D.C. But when taking on the most powerful opponent of her career, she finds winning may come at too high a price.; categories: Drama,Thriller",Pelicula
Fallen,"description: A young girl finds herself in a reform school after therapy since she was blamed for the death of a young boy. At the school she finds herself drawn to a fellow student, unaware that he is an angel, and has loved her for thousands of years.; categories: Adventure,Drama,Fantasy",Pelicula
Star Trek Beyond,"description: The USS Enterprise crew explores the furthest reaches of uncharted space, where they encounter a new ruthless enemy who puts them and everything the Federation stands for to the test.; categories: Action,Adventure,Sci-Fi",Pelicula
The Last Face,"description: A director (Charlize Theron) of an international aid agency in Africa meets a relief aid doctor (Javier Bardem) amidst a political/social revolution, and together face tough choices ... See full summary »; categories: Drama",Pelicula
Star Wars: Episode VII - The Force Awakens,"description: Three decades after the defeat of the Galactic Empire, a new threat arises. The First Order attempts to rule the galaxy and only a ragtag group of heroes can stop them, along with the help of the Resistance.; categories: Action,Adventure,Fantasy",Pelicula
Underworld: Blood Wars,"description: Vampire death dealer, Selene (Kate Beckinsale) fights to end the eternal war between the Lycan clan and the Vampire faction that betrayed her.; categories: Action,Adventure,Fantasy",Pelicula
Mother's Day,"description: Three generations come together in the week leading up to Mother's Day.; categories: Comedy,Drama",Pelicula
John Wick,"description: An ex-hitman comes out of retirement to track down the gangsters that took everything from him.; categories: Action,Crime,Thriller",Pelicula
The Dark Knight,"description: When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, the Dark Knight must come to terms with one of the greatest psychological tests of his ability to fight injustice.; categories: Action,Crime,Drama",Pelicula
Silence,"description: In the 17th century, two Portuguese Jesuit priests travel to Japan in an attempt to locate their mentor, who is rumored to have committed apostasy, and to propagate Catholicism.; categories: Adventure,Drama,History",Pelicula
Don't Breathe,"description: Hoping to walk away with a massive fortune, a trio of thieves break into the house of a blind man who isn't as helpless as he seems.; categories: Crime,Horror,Thriller",Pelicula
Me Before You,"description: A girl in a small town forms an unlikely bond with a recently-paralyzed man she's taking care of.; categories: Drama,Romance",Pelicula
Their Finest,"description: A former secretary, newly appointed as a scriptwriter for propaganda films, joins the cast and crew of a major production while the Blitz rages around them.; categories: Comedy,Drama,Romance",Pelicula
Sully,"description: The story of Chesley Sullenberger, an American pilot who became a hero after landing his damaged plane on the Hudson River in order to save the flight's passengers and crew.; categories: Biography,Drama",Pelicula
Batman v Superman: Dawn of Justice,"description: Fearing that the actions of Superman are left unchecked, Batman takes on the Man of Steel, while the world wrestles with what kind of a hero it really needs.; categories: Action,Adventure,Sci-Fi",Pelicula
The Autopsy of Jane Doe,"description: A father and son, both coroners, are pulled into a complex mystery while attempting to identify the body of a young woman, who was apparently harboring dark secrets.; categories: Horror,Mystery,Thriller",Pelicula
The Girl on the Train,"description: A divorcee becomes entangled in a missing persons investigation that promises to send shockwaves throughout her life.; categories: Crime,Drama,Mystery",Pelicula
Fifty Shades of Grey,"description: Literature student Anastasia Steele's life changes forever when she meets handsome, yet tormented, billionaire Christian Grey.; categories: Drama,Romance,Thriller",Pelicula
The Prestige,"description: Two stage magicians engage in competitive one-upmanship in an attempt to create the ultimate stage illusion.; categories: Drama,Mystery,Sci-Fi",Pelicula
Kingsman: The Secret Service,"description: A spy organization recruits an unrefined, but promising street kid into the agency's ultra-competitive training program, just as a global threat emerges from a twisted tech genius.; categories: Action,Adventure,Comedy",Pelicula
Patriots Day,"description: The story of the 2013 Boston Marathon bombing and the aftermath, which includes the city-wide manhunt to find the terrorists responsible.; categories: Drama,History,Thriller",Pelicula
Mad Max: Fury Road,"description: A woman rebels against a tyrannical ruler in postapocalyptic Australia in search for her home-land with the help of a group of female prisoners, a psychotic worshipper, and a drifter named Max.; categories: Action,Adventure,Sci-Fi",Pelicula
Wakefield,description: A man's nervous breakdown causes him to leave his wife and live in his attic for several months.; categories: Drama,Pelicula
Deepwater Horizon,"description: A dramatization of the April 2010 disaster, when the offshore drilling rig Deepwater Horizon exploded and created the worst oil spill in U.S. history.; categories: Action,Drama,Thriller",Pelicula
The Promise,"description: Set during the last days of the Ottoman Empire, The Promise follows a love triangle between Michael, a brilliant medical student, the beautiful and sophisticated Ana, and Chris - a renowned American journalist based in Paris.; categories: Drama,History",Pelicula
Allied,"description: In 1942, a Canadian intelligence officer in North Africa encounters a female French Resistance fighter on a deadly mission behind enemy lines. When they reunite in London, their relationship is tested by the pressures of war.; categories: Action,Drama,Romance",Pelicula
A Monster Calls,"description: A boy seeks the help of a tree monster to cope with his single mother's terminal illness.; categories: Drama,Fantasy",Pelicula
Collateral Beauty,"description: Retreating from life after a tragedy, a man questions the universe by writing to Love, Time and Death. Receiving unexpected answers, he begins to see how these things interlock and how even loss can reveal moments of meaning and beauty.; categories: Drama,Romance",Pelicula
Zootopia,"description: In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.; categories: Animation,Adventure,Comedy",Pelicula
Pirates of the Caribbean: At World's End,"description: Captain Barbossa, Will Turner and Elizabeth Swann must sail off the edge of the map, navigate treachery and betrayal, find Jack Sparrow, and make their final alliances for one last decisive battle.; categories: Action,Adventure,Fantasy",Pelicula
The Avengers,"description: Earth's mightiest heroes must come together and learn to fight as a team if they are to stop the mischievous Loki and his alien army from enslaving humanity.; categories: Action,Sci-Fi",Pelicula
Inglourious Basterds,"description: In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.; categories: Adventure,Drama,War",Pelicula
Pirates of the Caribbean: Dead Man's Chest,"description: Jack Sparrow races to recover the heart of Davy Jones to avoid enslaving his soul to Jones' service, as other friends and foes seek the heart for their own agenda as well.; categories: Action,Adventure,Fantasy",Pelicula
Ghostbusters,"description: Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat.; categories: Action,Comedy,Fantasy",Pelicula
Inception,"description: A thief, who steals corporate secrets through use of dream-sharing technology, is given the inverse task of planting an idea into the mind of a CEO.; categories: Action,Adventure,Sci-Fi",Pelicula
Captain Fantastic,"description: In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent.; categories: Comedy,Drama",Pelicula
The Wolf of Wall Street,"description: Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.; categories: Biography,Comedy,Crime",Pelicula
Gone Girl,"description: With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.; categories: Crime,Drama,Mystery",Pelicula
Furious Seven,"description: Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.; categories: Action,Crime,Thriller",Pelicula
Jurassic World,"description: A new theme park, built on the original site of Jurassic Park, creates a genetically modified hybrid dinosaur, which escapes containment and goes on a killing spree.; categories: Action,Adventure,Sci-Fi",Pelicula
